,sentence,location_list,type_list,error_list
25,我们虽然不知道挨饿的痛苦，但是我们是人，我们不能看着那些孩子们因为{CC2为}饥饿而死去，我们要做一些我们应当做的事情。,"d.t.u.d.c.a.s.t.Sentence(begin=281, end=341)",0,0
26,以前我们吃那些用过化肥和农药的食品也没有过什么大问题，也没有人因此而死掉，所[C]以说我认为还是要以帮助饥饿的人们为第一。,"d.t.u.d.c.a.s.t.Sentence(begin=341, end=402)",0,0
27,要救人，帮助人，就要不要太在意个人问题，要有雷锋精神。,"d.t.u.d.c.a.s.t.Sentence(begin=402, end=429)",0,0
28,人类大家全是兄弟姐妹，一定要互相帮助的。,"d.t.u.d.c.a.s.t.Sentence(begin=429, end=449)",0,0
29,多生产[F產]粮食，减[C]少饥饿，没有挨{CC把}饿的人的时候，再去想那个“绿色食品”吧！,"d.t.u.d.c.a.s.t.Sentence(begin=449, end=495)",0,0
30,"()(157D)""}","d.t.u.d.c.a.s.t.Sentence(begin=495, end=505)",0,0
31,绿色食品[L]不是解决饥饿的障[B章]碍目前绿色食品受人们欢迎，因为它既不会有害于人的健康，又不会污染环境。,"d.t.u.d.c.a.s.t.Sentence(begin=0, end=54)",0,0
32,不过，在生产绿色农作物的情况上，有很大的问题，它就是绿色农作物的产量不如用农药的{CJ-zxy农作物}产量。,"d.t.u.d.c.a.s.t.Sentence(begin=54, end=108)",0,0
33,现在世界上的饥饿问题也不亚于环境问题，因此有的人对于{CC由于}{CJ-zhuy人们}缺少粮食而挨饿的问题而提出先{CD提高}{CJX}该增[B曾]加农作物产量。,"d.t.u.d.c.a.s.t.Sentence(begin=108, end=189)",1,{CC由于}{
34,但是[BD，]我觉得无论如何，应该[B刻]继续生产绿色食品。,"d.t.u.d.c.a.s.t.Sentence(begin=189, end=219)",0,0
35,{CJ+dy这两个}原因[L]如下：首先，我看增[B曾]加农作物的产量并不会解决饥饿问题。,"d.t.u.d.c.a.s.t.Sentence(begin=219, end=264)",0,0
36,再说，饥饿问题更重要的原因是贫富国家{CQ的}差距[B巨]。,"d.t.u.d.c.a.s.t.Sentence(begin=264, end=294)",0,0
37,哪怕有些国家[B加]有多余的粮食也不给贫困的国家。,"d.t.u.d.c.a.s.t.Sentence(begin=294, end=319)",0,0
38,如果由于农药而产量增[B曾]多，那些有多的粮食的国家会把粮食放在仓库里面。,"d.t.u.d.c.a.s.t.Sentence(begin=319, end=356)",0,0
39,因而绿色食品的产量问题和解决饥饿的问题没有关系。,"d.t.u.d.c.a.s.t.Sentence(begin=356, end=380)",0,0
40,其次，目前世界的环境污染问题是刻不容缓{CC容不暖刻}了。,"d.t.u.d.c.a.s.t.Sentence(begin=380, end=409)",0,0
41,如果人们由于继续随便用农药破坏[B怀]环境——如[BD，]土壤、水、空气的话，未来肯定后悔。,"d.t.u.d.c.a.s.t.Sentence(begin=409, end=455)",0,0
42,总的来说，生产绿色食品虽然会有产量的降低，但是会解决更大的问题。,"d.t.u.d.c.a.s.t.Sentence(begin=455, end=487)",0,0
43,对于饥饿问题，我们应该想一想别的方法。,"d.t.u.d.c.a.s.t.Sentence(begin=487, end=506)",0,0
44,"()(157D)""}","d.t.u.d.c.a.s.t.Sentence(begin=506, end=516)",0,0
45,健康与饥饿的问题{CD上}如今，在农作物{CD在}生长过程中大多{CC2大部分}使用化肥和农药。,"d.t.u.d.c.a.s.t.Sentence(begin=0, end=48)",0,0
46,使用化肥和农药到底好不好呢？,"d.t.u.d.c.a.s.t.Sentence(begin=48, end=62)",0,0
47,我们如果吃到这些农产品会不会对健康有害呢？,"d.t.u.d.c.a.s.t.Sentence(begin=62, end=83)",0,0
48,其实这些问题[L]是很简单的。,"d.t.u.d.c.a.s.t.Sentence(begin=83, end=98)",0,0
49,但如果要解决这些问题就难了。,"d.t.u.d.c.a.s.t.Sentence(begin=98, end=112)",0,0
50,我们[C]使用化肥和农药的结果是产量的提高，但农作物会受到不同程度的化学污染，吃[B呼]了对身体健康有害。,"d.t.u.d.c.a.s.t.Sentence(begin=112, end=165)",0,0
51,可是如果不用化肥和农药，产量就大大降低。,"d.t.u.d.c.a.s.t.Sentence(begin=165, end=185)",0,0
52,想到世界上还有几亿人因缺少粮食而挨饿，就心情{CJX}沉重。,"d.t.u.d.c.a.s.t.Sentence(begin=185, end=215)",0,0
53,“绿色食品”带来的健康是明确地表现在人们的生活当中{CJsd}。,"d.t.u.d.c.a.s.t.Sentence(begin=215, end=247)",0,0
54,那谁愿意{CD想}吃有害健康的农作物呢？,"d.t.u.d.c.a.s.t.Sentence(begin=247, end=267)",0,0
55,我想无论是饥饿状态，还是吃饱{CC饱食}的状态，人都想{CC要}吃到“绿色食品”。,"d.t.u.d.c.a.s.t.Sentence(begin=267, end=308)",0,0
56,这理由是很简单{CJsd}。,"d.t.u.d.c.a.s.t.Sentence(begin=308, end=322)",0,0
57,如果每天吃{CD了}用化肥和农药的农作物{CQ就}不能{CC会}健康地生活{CD着}。,"d.t.u.d.c.a.s.t.Sentence(begin=322, end=365)",1,{CQ就}
58,虽然在世界上很多人还在挨饿{CC饥饿}，可他们也有维护自己健康的权利{CC权力}，[BC。],"d.t.u.d.c.a.s.t.Sentence(begin=365, end=411)",0,0
59,因为他们也是人。,"d.t.u.d.c.a.s.t.Sentence(begin=411, end=419)",0,0
60,我们都要吃到健康的食品[BQ，]才会有健康的精神和身体。,"d.t.u.d.c.a.s.t.Sentence(begin=419, end=447)",0,0
61,"（）（101F）""}","d.t.u.d.c.a.s.t.Sentence(begin=447, end=457)",0,0
62,绿色食品与饥饿当今社会{CD中}[BQ，]随着生活水平的提高[BQ，]人们开始流行吃绿[C]色食品。,"d.t.u.d.c.a.s.t.Sentence(begin=0, end=50)",0,0
63,其实{CD回首}想想这[C]么些年来[BQ，]我们也吃[B只]了不少有化肥农药[C]的农作物。,"d.t.u.d.c.a.s.t.Sentence(begin=50, end=97)",0,0
64,所以我认为绿[C]色食品和饥饿并不是两者当中只能选[C]一的问题。,"d.t.u.d.c.a.s.t.Sentence(begin=97, end=130)",0,0
65,[BC.]从一个极端来看[B着]，要完全撤去化肥农药[C]的使用而只吃绿[C]色食品是绝[C]对不可能的，这[C]个选[C]择从经[C]济上{CQ看}是不可行的。,"d.t.u.d.c.a.s.t.Sentence(begin=130, end=211)",0,0
66,再考虑另一个极端，{CD即是}为了解决[L]饥饿问题而忽略某一群体对绿[C]色食品的青睐[B昧]也不可取。,"d.t.u.d.c.a.s.t.Sentence(begin=211, end=264)",1,{CD即是}
67,毕竟贫富差异在世界上大部分的国家还[C]是存在的。,"d.t.u.d.c.a.s.t.Sentence(begin=264, end=289)",0,0
68,所以我认为两者都应该保留，问题就在于如何控制两者之间的平衡。,"d.t.u.d.c.a.s.t.Sentence(begin=289, end=319)",0,0
69,这[C]就应该随不同国家的平均生活水平而定。,"d.t.u.d.c.a.s.t.Sentence(begin=319, end=341)",0,0
70,在生产绿[C]色食品的同时，当然要首先{CC头等}考虑人民的温饱。,"d.t.u.d.c.a.s.t.Sentence(begin=341, end=374)",0,0
71,对绿[C]色食品的需求是随着生活水平的提高而产生{CJsd}，[BC。],"d.t.u.d.c.a.s.t.Sentence(begin=374, end=410)",0,0
72,是人民开始讲究生活质量的一种体现。,"d.t.u.d.c.a.s.t.Sentence(begin=410, end=427)",0,0
73,而再从使用化肥农药[C]{CJ-zxy的角度}来讨论[B诰]，国家应确保化肥农药[C]的使用给{CC对}人民的健康带来的危害{CD应}降低到最小。,"d.t.u.d.c.a.s.t.Sentence(begin=427, end=500)",0,0
74,这[C]就{CQ要}由[B曲]有关部门和政策管理制度来控制。,"d.t.u.d.c.a.s.t.Sentence(begin=500, end=530)",0,0
75,这[C]是每个国家的重点政策。,"d.t.u.d.c.a.s.t.Sentence(begin=530, end=545)",0,0
76,"(102Y)(151Z)""}","d.t.u.d.c.a.s.t.Sentence(begin=545, end=559)",0,0
77,爸爸的一位朋友在中国开办一所农场，[BC.]位于北京朝阳区，[BC.]不久前我到那所农场参观过。,"d.t.u.d.c.a.s.t.Sentence(begin=0, end=48)",0,0
78,虽面积不大可是有各种各样的绿色植物。,"d.t.u.d.c.a.s.t.Sentence(begin=48, end=66)",0,0
79,[BC、]{CP他说他的农场决[B绝]不许用化肥和农药[C]，[BC、]可是那里的植物都比在市场卖的{CJX}不差且很新鲜，我很好奇地{CC的}问了他怎么不用化肥与农药[C]能培养出这么好的绿色植物，他说他的农场用来自地下100米的地下水{CJ+zy用来}培养植物，[BC、]然而我们带一些绿菜在家食用，[BC、]那些绿菜都很好且吃起来非常可口，[BC、]习惯于吃他农场的农作物之后不敢吃在市场卖的绿菜，[BC.]所以在市场买绿菜的时候[B后]一定会买一些中国政府认可的“绿色食品”。,"d.t.u.d.c.a.s.t.Sentence(begin=66, end=308)",0,0
80,[BC、]我通过媒体听过一条消息，[BC.]有一位小姐，用葡萄来减肥，[BC、]有一天她突[C]然昏倒[BQ，]马上送到医院{CJbei}，[BC、]她认为因减肥过多引起的营养不足{CJs}，[BC、]却{CJX}医生说是因体内农药过多引起的中毒，[BC、]我看到这条消息之后很不安，[BC.]我们吃的食物中农药含量是如此多是{CQ我}没想到的。,"d.t.u.d.c.a.s.t.Sentence(begin=308, end=481)",1,却{CJX}
81,[BC、]别的农业发达国家已擅[B善]长[B唱]生产“绿色食品”。,"d.t.u.d.c.a.s.t.Sentence(begin=481, end=514)",0,0
82,中国虽使用{CC善用}“绿色食品”不久，[BC.]可是要不断地{CC的}来发展绿色食品的话[BQ，]中国人的健[B建]康会有很大的进步，我相信中国政府与农民。,"d.t.u.d.c.a.s.t.Sentence(begin=514, end=593)",0,0
83,"()(157D)""}","d.t.u.d.c.a.s.t.Sentence(begin=593, end=603)",0,0
84,议绿色食品与饥饿我认为吃“绿色食品”是第一位的。,"d.t.u.d.c.a.s.t.Sentence(begin=0, end=24)",0,0
85,从长远的观点来看，吃化学污染的食品会{CJX}人面临灭[C]绝。,"d.t.u.d.c.a.s.t.Sentence(begin=24, end=56)",0,0
86,受到化学污[C]染的食品很可能会{CD使}严重损坏人类的基因，改变基因。,"d.t.u.d.c.a.s.t.Sentence(begin=56, end=92)",0,0
87,我认为最好的解决办法是节约食品，诸多发展中国家公民面临饥饿的威胁，同时在先进国家则{CJX}肥胖成为普遍的问题。,"d.t.u.d.c.a.s.t.Sentence(begin=92, end=148)",1,同时在先进国家则{CJX}
88,然后学生等在食堂里吃饭后剩下很多菜。,"d.t.u.d.c.a.s.t.Sentence(begin=148, end=166)",0,0
89,这种浪费是在我们社会里到处都可以看到的。,"d.t.u.d.c.a.s.t.Sentence(begin=166, end=186)",0,0
90,我认为在这些方面有不少{CD有}解决这个问题的可能性，我们应该从这些很有潜力的方面开始解决问题。,"d.t.u.d.c.a.s.t.Sentence(begin=186, end=234)",0,0
91,地球上的资源是有限的。,"d.t.u.d.c.a.s.t.Sentence(begin=234, end=245)",0,0
92,要是我们这一代人使用化肥和农药让农业物产量增高，取而代之{CC替}的是严重的环境污[C]染。,"d.t.u.d.c.a.s.t.Sentence(begin=245, end=291)",0,0
93,这些污[C]染很有可能挽回不了的。,"d.t.u.d.c.a.s.t.Sentence(begin=291, end=308)",0,0
94,{CP我们的后代人不能在这些被严重破坏的环境下生存下去。,"d.t.u.d.c.a.s.t.Sentence(begin=308, end=336)",0,0
95,我们还是为了后代人着想解决问题。,"d.t.u.d.c.a.s.t.Sentence(begin=336, end=352)",0,0
96,为了我们后代人保存我们的地球。,"d.t.u.d.c.a.s.t.Sentence(begin=352, end=367)",0,0
97,我[C]们不能破坏自然环境。,"d.t.u.d.c.a.s.t.Sentence(begin=367, end=381)",0,0
98,我们尽量保留这些不可缺少的自然环境。,"d.t.u.d.c.a.s.t.Sentence(begin=381, end=399)",0,0
99,我们人类也是自然的一部分。,"d.t.u.d.c.a.s.t.Sentence(begin=399, end=412)",0,0
100,我们不能随意破坏自然环境。,"d.t.u.d.c.a.s.t.Sentence(begin=412, end=425)",0,0
101,P}所以我认为采取节约食品的办法是解决饥饿的最好的办法。,"d.t.u.d.c.a.s.t.Sentence(begin=425, end=453)",0,0
102,"()(157D)""}","d.t.u.d.c.a.s.t.Sentence(begin=453, end=463)",0,0
103,[BD《][BQ“]绿色食品[BQ”]与饥饿[BD》]我认为“绿色食品”和不挨饿双方都是很重要的，[BC。],"d.t.u.d.c.a.s.t.Sentence(begin=0, end=54)",0,0
104,但是却觉得不挨饿要比“绿色食品”更加有一种现实性的需要。,"d.t.u.d.c.a.s.t.Sentence(begin=54, end=82)",0,0
105,此原因是食欲要胜[F勝]过{CC1过[C]于}理智。,"d.t.u.d.c.a.s.t.Sentence(begin=82, end=108)",0,0
106,人是必须[B雪]要以[BD“]吃饭[BD”]来补[F補]充能量的。,"d.t.u.d.c.a.s.t.Sentence(begin=108, end=141)",0,0
107,要是人不吃东西的话，结果只有一个死而已[B己]。,"d.t.u.d.c.a.s.t.Sentence(begin=141, end=165)",0,0
108,人是有生存的欲望的，这[C]个欲望在心理学中被称为“最高程度的欲望”。,"d.t.u.d.c.a.s.t.Sentence(begin=165, end=200)",0,0
109,因为人要是死了，还[C]需要什么欲望{CQ呢}？,"d.t.u.d.c.a.s.t.Sentence(begin=200, end=224)",0,0
110,"[BC,]没有其它的了。","d.t.u.d.c.a.s.t.Sentence(begin=224, end=236)",0,0
111,所[C]以人会为了生存而吃饭。,"d.t.u.d.c.a.s.t.Sentence(begin=236, end=251)",0,0
112,要是在饥饿的状[C]态[F態]下，人会以为他自己会死，[BC。],"d.t.u.d.c.a.s.t.Sentence(begin=251, end=283)",0,0
113,而会不顾一切{CC不虑一切}地去吃。,"d.t.u.d.c.a.s.t.Sentence(begin=283, end=301)",0,0
114,但是“绿色食品”也{CJX}{CD是}对于人类来说是必须{CC必需}要考虑的一个问题。,"d.t.u.d.c.a.s.t.Sentence(begin=301, end=344)",1,也{CJX}
115,它会使人的寿命更长，也会使人很健康。,"d.t.u.d.c.a.s.t.Sentence(begin=344, end=362)",0,0
116,这[C]也是生存的欲望。,"d.t.u.d.c.a.s.t.Sentence(begin=362, end=374)",0,0
117,这[C]双方虽然看起来是{CD内}有一些矛盾，但是一定是有办法解决的。,"d.t.u.d.c.a.s.t.Sentence(begin=374, end=409)",0,0
118,我想，人可以进[C]一步地发展一些转基因{CC3基因变换[F換]}食物。,"d.t.u.d.c.a.s.t.Sentence(begin=409, end=445)",0,0
119,"这[C]样就可以不用农药[BD,]生产{CC2做}出很多农作物{CC农产物}了。","d.t.u.d.c.a.s.t.Sentence(begin=445, end=485)",0,0
120,但是一定要保证安全才行，要不然就不是解决问题{CD了}，而是添问题了。,"d.t.u.d.c.a.s.t.Sentence(begin=485, end=520)",0,0
121,"（）（101F）""}","d.t.u.d.c.a.s.t.Sentence(begin=520, end=530)",0,0
122,[BD《]绿色食品与饥饿[BD》]为了更多的利益和大量地[B的]生产农作物，大部分农夫都在用化肥和农药。,"d.t.u.d.c.a.s.t.Sentence(begin=0, end=52)",0,0
123,他们的行为会{CC能}给人们带来一些病，[BC。],"d.t.u.d.c.a.s.t.Sentence(begin=52, end=77)",0,0
124,但这样做可以让那些饥饿的人民多吃一口饭。,"d.t.u.d.c.a.s.t.Sentence(begin=77, end=97)",0,0
125,这些对人有害的食品不应该存[C]在，更不应该吃。,"d.t.u.d.c.a.s.t.Sentence(begin=97, end=121)",0,0
126,无论多饥饿吃完了还是会得病。,"d.t.u.d.c.a.s.t.Sentence(begin=121, end=135)",0,0
127,给这些人100斤的那些被污染的农作物，还不如给他们1公斤新鲜的绿色食品。,"d.t.u.d.c.a.s.t.Sentence(begin=135, end=171)",0,0
128,农夫为了自己的利益才这样做，根本就不在乎人们的生命，[BC.]而[L]且他们自己也不会吃那些被污染的农作物，[BC。],"d.t.u.d.c.a.s.t.Sentence(begin=171, end=230)",1,而[L]
129,因为他们知道那些有害健康。,"d.t.u.d.c.a.s.t.Sentence(begin=230, end=243)",0,0
130,其实农夫干活很累赚[C]钱也很少，他们也不得不这样做。,"d.t.u.d.c.a.s.t.Sentence(begin=243, end=270)",0,0
131,国家应该来支持他们。,"d.t.u.d.c.a.s.t.Sentence(begin=270, end=280)",0,0
132,如果他们的收入高了，就不会出现这样的农作物。,"d.t.u.d.c.a.s.t.Sentence(begin=280, end=302)",0,0
133,但也不能说完全都会消失。,"d.t.u.d.c.a.s.t.Sentence(begin=302, end=314)",0,0
134,人为了自己的利益什么事都能做出来。,"d.t.u.d.c.a.s.t.Sentence(begin=314, end=331)",0,0
135,我希望将来[L]所有的人{CD们}都可以吃得[B的]到那些很新鲜的绿色食品，也希望人们不要再为了自己的利益做出这样傻[C]的行为！,"d.t.u.d.c.a.s.t.Sentence(begin=331, end=396)",0,0
136,"()(157D)""}","d.t.u.d.c.a.s.t.Sentence(begin=396, end=406)",0,0
137,我觉得虽然人类要解决挨饿问题也是迫不及待的要求，但从长期的视角来看，吃“绿色食品”比不挨饿更为重要。,"d.t.u.d.c.a.s.t.Sentence(begin=0, end=50)",0,0
138,为什么呢？,"d.t.u.d.c.a.s.t.Sentence(begin=50, end=55)",0,0
139,我觉得乱用化肥和农药不仅仅是有害于人的健康，而且导致在土壤里{CC上}{CJX}有害化学物质的积累[BQ，]其结果也会影响到整个地球的生态环境[C]。,"d.t.u.d.c.a.s.t.Sentence(begin=55, end=130)",0,0
140,良好的生态环境一去不复返，我们作为与其他动物的共存者应该肩负{CQ的}责任{CJX}保护生态环境。,"d.t.u.d.c.a.s.t.Sentence(begin=130, end=179)",0,0
141,那么，我们应该怎样解决该问题[C]呢？,"d.t.u.d.c.a.s.t.Sentence(begin=179, end=198)",0,0
142,我觉得该问题的解决并[F並]不简单。,"d.t.u.d.c.a.s.t.Sentence(begin=198, end=216)",0,0
143,因[B囚]为在世界人口不断增多、全世界现在还[C]处在饥饿的困境{CQ中}的人数高达70%以上{CJ-zxy的情况下}，对我们人类来说，目前，为了全世界人民达到[C]温饱水平，不择手段也要提高粮食{CC食[F糧]}生产水平也是无可奈何{CC不可奈何}的。,"d.t.u.d.c.a.s.t.Sentence(begin=216, end=343)",0,0
144,但是我们如果早日{CJX}能够发明在任何环境之下都{CC也}会生长的食物品种的话，有可能把两个问题同时{CC并[F並]行}解决。,"d.t.u.d.c.a.s.t.Sentence(begin=343, end=407)",1,{CC并[F並]行}
145,我们人类出现在地球{CQ上}后，成功地提高{CQ了}生活水平，带来了从来[B而]未有的繁[C]荣。,"d.t.u.d.c.a.s.t.Sentence(begin=407, end=456)",0,0
146,{CP我自己相信我们人类碰到[C]任何困难{CC2困[C]}[BQ，]咱也能够解[C]决问题[C]，走向更加美好的生活{CC路线}。,"d.t.u.d.c.a.s.t.Sentence(begin=456, end=522)",0,0
147,"P}（）（153Z）""}","d.t.u.d.c.a.s.t.Sentence(begin=522, end=534)",0,0
148,我认为健康问题和饥饿问题是并不矛盾的。,"d.t.u.d.c.a.s.t.Sentence(begin=0, end=19)",0,0
149,现在在发达国家中人们追求更好的生态环境和身体健康是非常自然的一件事情，而在发展中国家先必须解决饥饿问题也是理所当然的事情。,"d.t.u.d.c.a.s.t.Sentence(begin=19, end=80)",0,0
150,前者是为了自己和后代而着想的，后者是为了生存，各有不同的需要。,"d.t.u.d.c.a.s.t.Sentence(begin=80, end=111)",0,0
151,那么在生产粮食{CC食[F糧]}的过程中有所不同的也是难免的事。,"d.t.u.d.c.a.s.t.Sentence(begin=111, end=143)",0,0
152,可能不少人士会反应这种想法太自私，因为这样等于好东西给自己，次品给别人吃。,"d.t.u.d.c.a.s.t.Sentence(begin=143, end=180)",0,0
153,但是，我不认为是自私，对面临饥饿{CC饥死}的人们来说[BQ，]不管导致化学污染或者对自己的身体有{CD所}损害{CC害}的因素{CJ?},"d.t.u.d.c.a.s.t.Sentence(begin=180, end=249)",0,0
154,，都先{CJX}必须解决最基本的“生存问题”{CJs}。,"d.t.u.d.c.a.s.t.Sentence(begin=249, end=277)",1,都先{CJX}
155,一切事情都有顺序，有阶[B价]段，判断做事的顺序才是最重要的。,"d.t.u.d.c.a.s.t.Sentence(begin=277, end=308)",0,0
156,因此我认为各有不同的情况，应该按照实际需要来生产粮食{CC食[F糧]}。,"d.t.u.d.c.a.s.t.Sentence(begin=308, end=344)",0,0
157,有一天全世界都能解决了温饱问题的时候，我们可以彻底实行绿色食品的全球化，我盼[C]望着这一天。,"d.t.u.d.c.a.s.t.Sentence(begin=344, end=391)",0,0
158,所以现在我们先要做到的是尽力去帮助发展中国家的贫民，饥饿生病的小朋友们。,"d.t.u.d.c.a.s.t.Sentence(begin=391, end=427)",0,0
159,我们不努力，他们的面包是不会有的，他们没有面包，我们的面包也不完美的{CJs}。,"d.t.u.d.c.a.s.t.Sentence(begin=427, end=467)",0,0
160,"[BC.](201W)(151Z)""}","d.t.u.d.c.a.s.t.Sentence(begin=467, end=486)",0,0
161,[BD《][BQ“]绿色食品[BQ”]与饥饿[BD》]现代社会的人们对“绿色食品”有很大的关心，是因为{CJ-zhuy人们}意识到了使用化肥和农药生产{CC2产}出来的农作物被污染得{CC的}很严重，而且这些农作物不利于健康。,"d.t.u.d.c.a.s.t.Sentence(begin=0, end=113)",0,0
162,我认为使用化肥和农药的办法是不对的{CJ+zxy办法}。,"d.t.u.d.c.a.s.t.Sentence(begin=113, end=141)",0,0
163,我们应该为了“绿色食品”的发展更加{CC2更加以}努力。,"d.t.u.d.c.a.s.t.Sentence(begin=141, end=169)",0,0
164,有人说，如果不使用化肥和农药的话，农作物的产量会大大降低，而现在世界上还有几亿人因缺少粮食而挨饿，“绿色食品”的发展就意味着挨饿的人们{CJ-zy会}继续这样痛苦地活下去。,"d.t.u.d.c.a.s.t.Sentence(begin=169, end=255)",0,0
165,但是，我想现在他们挨饿的原因不是在于农作物的产量不够，而是在于不合理{CC适[C]合}的农作物分配。,"d.t.u.d.c.a.s.t.Sentence(begin=255, end=305)",0,0
166,我从报纸上看过这样的一个消息：[BC。],"d.t.u.d.c.a.s.t.Sentence(begin=305, end=325)",0,0
167,[BD“]地球[B求]上的农作物产量[BD，]已经达到了解决全球人民饥饿问题的程度，但这么多的农作物多集中在少数人的仓库里[BQ。],"d.t.u.d.c.a.s.t.Sentence(begin=325, end=391)",0,0
168,[BD”]所以我认为{CC想}发展“绿色食品”是使全球人民变得更健康的一件好事情，而绝对不是不顾饥饿难民的不好的事情。,"d.t.u.d.c.a.s.t.Sentence(begin=391, end=450)",0,0
169,我看现在科学的发展前途是很光明的。,"d.t.u.d.c.a.s.t.Sentence(begin=450, end=467)",0,0
170,我相信，在不远的未来，我们的科学肯定会发明{CD了}既{CC又}卫生、又{CC既}产量多的“绿色食品”。,"d.t.u.d.c.a.s.t.Sentence(begin=467, end=519)",1,既{CC又}
171,我希望尽快尝到理想的未来“绿色食品”。,"d.t.u.d.c.a.s.t.Sentence(begin=519, end=538)",0,0
172,"[BC.]（）（101F）""}","d.t.u.d.c.a.s.t.Sentence(begin=538, end=553)",0,0
173,[BQ“]绿色食品[BQ”]与饥饿现在我们[C]每天[B无]吃的粮[F糧]食大部分是使用大量化肥和农药{CD而}生产的。,"d.t.u.d.c.a.s.t.Sentence(begin=0, end=60)",1,{CD而}
174,如果不使用这些化肥和农药，产量会大大降低，达不到我们的需求量。,"d.t.u.d.c.a.s.t.Sentence(begin=60, end=91)",0,0
175,世界上还[C]有一部分国家在贫穷{CC穷贫}当中徘徊。,"d.t.u.d.c.a.s.t.Sentence(begin=91, end=118)",0,0
176,那些国家的人民还解决不了温饱问[C]题。,"d.t.u.d.c.a.s.t.Sentence(begin=118, end=138)",0,0
